full_name,repo,description,stars,forks,language,user,name,type,location,lat,long,city,country,rank
weavejester/integrant,integrant,Micro-framework for data-driven architecture,156,7,Clojure,weavejester,James Reeves,User,"London, UK",51.5073509,-0.12775830000000002,London,United Kingdom,157.0
r00t-3xp10it/morpheus,morpheus,Morpheus - Automated Ettercap TCP/IP Hijacking Tool,150,35,Lua,r00t-3xp10it,pedro ubuntu,User,Lisbon - portugal,38.722252399999995,-9.1393366,Lisbon,Portugal,162.0
haskus/haskus-system,haskus-system,Haskus system,267,10,Haskell,haskus,,Organization,,,,,,91.0
rstacruz/webpack-tricks,webpack-tricks,Tips and tricks in using Webpack,1940,46,,rstacruz,Rico Sta. Cruz,User,"Manila, Philippines",14.599512400000002,120.98421950000001,Manila,Philippines,7.0
keonkim/awesome-bits,awesome-bits,:computer: A curated list of awesome bitwise operations and tricks,1705,83,,keonkim,Keon Kim,User,NYC,40.7127837,-74.00594129999999,New York,United States,9.0
DynamicCocoa/DynamicCocoa,DynamicCocoa,A framework for running Cocoa code dynamically.,803,77,,DynamicCocoa,,Organization,,,,,,22.0
soumith/ganhacks,ganhacks,starter from 'How to Train a GAN?' at NIPS2016,735,96,,soumith,Soumith Chintala,User,"New York, USA",40.7127837,-74.00594129999999,New York,United States,24.0
facebookincubator/react-vr,react-vr,Issues-only repo for React VR - a React Native platform to run 3D and WebVR content.,690,14,,facebookincubator,Facebook Incubator,Organization,"Menlo Park, California",37.4529598,-122.1817252,Menlo Park,United States,27.5
Nax/longflow-manifesto,longflow-manifesto,:coffee: The longflow manifesto,533,23,,Nax,,User,France,46.227638,2.213749,,France,37.0
sfermigier/awesome-functional-python,awesome-functional-python,,417,22,,sfermigier,Stefane Fermigier,User,"Paris, France",48.856614,2.3522218999999995,Paris,France,51.0
jivoi/awesome-ml-for-cybersecurity,awesome-ml-for-cybersecurity, :octocat: Machine Learning for Cyber Security,362,82,,jivoi,EK_,User,Somewhere Out in Space,,,,,59.0
